Link,001,Campo,$a,SC2
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20855,=001  20855,650,b'PUENTES DE CARRETERA'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20856,=001  20856,100,"b'Bali\xc3\xb1a, Manuel R.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20857,=001  20857,100,"b'Baralis, Lorenzo'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20858,=001  20858,100,"b'Bergallo, Arsenio'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20859,=001  20859,100,"b'Berretta, Sebasti\xc3\xa1n'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20859,=001  20859,650,b'MOVIMIENTO DE TIERRA'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20860,=001  20860,100,"b'Bonnesserre, Alberto'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20861,=001  20861,100,"b'Brady, Ciro T.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20861,=001  20861,650,b'ESTACIONES DE CLASIFICACION[FERROCARRILES]'
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20862,=001  20862,100,"b'Burgos, Ricardo (h.)'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20863,=001  20863,100,"b'Butler, Jorge G.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20864,=001  20864,700,"b'Mari\xc3\xb1o, Jos\xc3\xa9'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20865,=001  20865,100,"b'Calandra, Ra\xc3\xbal A.'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20866,=001  20866,100,"b'Capelle, Ren\xc3\xa9'"
http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber==001  20866,=001  20866,650,b'REVESTIMIENTOS DE EMBALSES'
